Neighbourhood Name,Latitude,Longitude,Violation_Type,Reported_Month,Reported_Year,QRT,Preschool,Kindergarten,Gr7_Gr9,Gr10_Gr12,Post_Secondary,Homemaker,Employedage0-30,Employed 30+ ,Unemployed,Retired,Permanently U,Employment_No Response,"Income_Less than $30,","Income_$30,000 to les","Income_$60,000 to les","Income_$100,000 to le","Income_$125,000 to le","Income_$150,000 to le","Income_$200,000 to le","Income_$250,000 or mo",Income_No Response,actual values,predicted
MONTROSE,53.575116,-113.44223,Assault,January,2016,Q1,110.0,131.0,83.0,61.0,47.0,48.0,128.0,1013.0,162.0,346.0,76.0,1104.0,171.0,236.0,224.0,74.0,19.0,18.0,8.0,4.0,712.0,3,3.392
ROSSLYN,53.595758,-113.504287,Assault,December,2016,Q4,97.0,194.0,56.0,57.0,42.0,68.0,180.0,806.0,210.0,721.0,43.0,501.0,251.0,185.0,185.0,99.0,42.0,10.0,6.0,1.0,522.0,2,1.706
PARKDALE,53.565716,-113.47135,Assault,October,2016,Q4,97.0,104.0,44.0,35.0,92.0,82.0,150.0,774.0,126.0,270.0,77.0,1481.0,253.0,209.0,192.0,48.0,17.0,6.0,3.0,2.0,872.0,6,3.564
MILL WOODS PARK,53.455865,-113.441306,Assault,November,2016,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.236
SHERWOOD,53.529102,-113.584145,Robbery,February,2016,Q1,53.0,52.0,14.0,22.0,21.0,9.0,54.0,316.0,51.0,124.0,12.0,610.0,42.0,96.0,90.0,41.0,32.0,22.0,3.0,1.0,310.0,2,1.274
OXFORD,53.622198,-113.547292,Robbery,October,2016,Q4,166.0,275.0,130.0,133.0,159.0,116.0,196.0,1327.0,126.0,388.0,23.0,999.0,24.0,116.0,230.0,138.0,95.0,91.0,24.0,26.0,589.0,1,1.086
THORNCLIFF,53.516698,-113.622828,Sexual Assaults,February,2016,Q1,137.0,203.0,94.0,75.0,67.0,70.0,146.0,967.0,137.0,258.0,51.0,1349.0,45.0,96.0,84.0,32.0,27.0,14.0,6.0,5.0,956.0,1,1.382
MAYLIEWAN,53.62229,-113.460264,Sexual Assaults,March,2016,Q1,89.0,236.0,125.0,119.0,191.0,92.0,178.0,1205.0,119.0,419.0,24.0,1256.0,43.0,90.0,100.0,98.0,63.0,57.0,34.0,18.0,751.0,1,1.012
KAMEYOSEK,53.461919,-113.442068,Sexual Assaults,July,2016,Q3,108.0,174.0,87.0,55.0,43.0,55.0,140.0,593.0,146.0,397.0,25.0,580.0,237.0,233.0,123.0,39.0,16.0,17.0,3.0,3.0,435.0,1,1.186
KLARVATTEN,53.637224,-113.476665,Assault,November,2016,Q4,326.0,454.0,160.0,127.0,173.0,170.0,200.0,1775.0,167.0,240.0,25.0,1913.0,40.0,123.0,259.0,198.0,171.0,139.0,51.0,22.0,858.0,1,1.02
TWIN BROOKS,53.444689,-113.531497,Assault,October,2016,Q4,186.0,343.0,238.0,239.0,323.0,211.0,392.0,2015.0,163.0,892.0,25.0,1238.0,73.0,198.0,316.0,201.0,151.0,200.0,91.0,105.0,903.0,1,1.488
TERRACE HEIGHTS,53.542081,-113.437801,Assault,September,2016,Q3,60.0,67.0,28.0,23.0,44.0,21.0,69.0,503.0,77.0,245.0,37.0,1250.0,111.0,118.0,99.0,42.0,32.0,40.0,15.0,7.0,684.0,3,2.262
PEMBINA,53.603168,-113.542845,Assault,March,2016,Q1,21.0,17.0,6.0,3.0,8.0,8.0,11.0,208.0,21.0,90.0,3.0,127.0,7.0,15.0,41.0,37.0,7.0,3.0,1.0,2.0,153.0,1,1.848
KENSINGTON,53.595863,-113.528924,Assault,November,2016,Q4,85.0,122.0,47.0,42.0,35.0,74.0,106.0,660.0,112.0,772.0,32.0,1762.0,119.0,162.0,148.0,51.0,28.0,19.0,7.0,3.0,1102.0,3,1.786
WEINLOS,53.459907,-113.413836,Sexual Assaults,September,2016,Q3,80.0,131.0,90.0,77.0,74.0,85.0,139.0,916.0,104.0,294.0,43.0,1275.0,28.0,100.0,102.0,42.0,17.0,26.0,6.0,5.0,839.0,2,1.274
ERMINESKIN,53.457639,-113.505728,Sexual Assaults,July,2016,Q3,206.0,222.0,102.0,89.0,177.0,131.0,254.0,1580.0,225.0,800.0,49.0,1406.0,367.0,531.0,322.0,94.0,60.0,45.0,28.0,11.0,986.0,3,1.404
EMPIRE PARK,53.484366,-113.505859,Robbery,February,2016,Q1,194.0,204.0,83.0,76.0,401.0,113.0,236.0,1340.0,204.0,377.0,48.0,1626.0,128.0,385.0,345.0,79.0,19.0,10.0,3.0,1.0,1330.0,3,2.094
WILD ROSE,53.470564,-113.381167,Assault,January,2016,Q1,293.0,552.0,309.0,260.0,275.0,220.0,422.0,2415.0,288.0,509.0,50.0,3020.0,32.0,198.0,273.0,125.0,100.0,96.0,34.0,18.0,1564.0,1,1.634
CRESTWOOD,53.535434,-113.569038,Sexual Assaults,November,2016,Q4,80.0,168.0,59.0,51.0,92.0,43.0,132.0,757.0,50.0,475.0,2.0,442.0,56.0,91.0,90.0,52.0,26.0,58.0,36.0,103.0,404.0,1,1.472
CENTRAL MCDOUGALL,53.553332,-113.501068,Robbery,October,2016,Q4,155.0,121.0,30.0,27.0,145.0,89.0,279.0,1249.0,325.0,238.0,160.0,2093.0,610.0,435.0,172.0,32.0,17.0,7.0,2.0,4.0,1714.0,3,5.6
